#队伍编号,未设置队伍
#评审时间,2026-06-07 16:26:41
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 15:31:57
#随机种子,6455062
#总分,39.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
1,2026-06-07 16:23:05.205,A-01,发送广播寻找设备,,A5B6FFFF05FFFF00021C10B6A5,心跳 命令字=0xFFFF,A5B6CB17058888000259D9B6A5,心跳帧,0.0,0.0,--
2,2026-06-07 16:23:05.205,A-01,发送广播寻找设备(字符串),,,,A5B6CB17058888000259D9B6A5,A5B6CB17058888000259D9B6A5,1.0,1.0,通过
3,2026-06-07 16:23:05.912,A-02,发送重启命令,,A5B6CB1701010100022FD3B6A5,命令 命令字=0x0101,A5B6CB170201010102FF2E7FB6A5,执行成功(OK),0.0,0.0,--
4,2026-06-07 16:23:05.912,A-02,发送重启命令(字符串),,,,A5B6CB170201010102FF2E7FB6A5,A5B6CB170201010102FF2E7FB6A5,1.0,1.0,通过
5,2026-06-07 16:23:10.869,A-03,等待重启后心跳帧,,,,A5B6CB17058888000259D9B6A5,心跳帧,0.0,0.0,--
6,2026-06-07 16:23:10.869,A-03,等待重启后心跳帧(字符串),,,,A5B6CB17058888000259D9B6A5,A5B6CB17058888000259D9B6A5,1.0,1.0,通过
7,2026-06-07 16:23:11.574,B-01,发送查询固件版本,,A5B6CB1701010400022EC3B6A5,命令 命令字=0x0104,A5B6CB170201040402020001001149B6A5,固件版本: 2.0.1.0,0.0,0.0,--
8,2026-06-07 16:23:11.574,B-01,发送查询固件版本(字符串),,,,A5B6CB170201040402020001001149B6A5,A5B6CB170201040402020001001149B6A5,1.0,1.0,通过
9,2026-06-07 16:23:12.277,B-02,发送查询设备时间,,A5B6CB170101060002EE62B6A5,命令 命令字=0x0106,A5B6CB1702010604026A252A6FA639B6A5,设备时间: 2026-06-07 16:23:11,0.0,0.0,--
10,2026-06-07 16:23:12.277,B-02,发送查询设备时间(字符串),,,,A5B6CB1702010604026A252A6FA639B6A5,A5B6CB1702010604026A252A6FA639B6A5,1.0,1.0,通过
11,2026-06-07 16:23:12.985,B-03,发送查询波特率,,A5B6CB170101120002EA22B6A5,命令 命令字=0x0112,A5B6CB17020112010213277AB6A5,波特率: 19200 bps,0.0,0.0,--
12,2026-06-07 16:23:12.985,B-03,发送查询波特率(字符串),,,,A5B6CB17020112010213277AB6A5,A5B6CB17020112010213277AB6A5,1.0,1.0,通过
13,2026-06-07 16:23:13.686,B-04,发送查询CH0,,A5B6CB1701020100026BD3B6A5,命令 命令字=0x0201,A5B6CB170202010402459FC400CE2BB6A5,CH0=5112.5000,0.0,0.0,--
