#队伍编号,2026141323
#评审时间,2026-06-07 14:03:41
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 10:49:30
#随机种子,15908109
#总分,38.5
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
1,2026-06-07 13:59:55.036,A-01,发送广播寻找设备,,A5B6FFFF05FFFF00021C10B6A5,心跳 命令字=0xFFFF,A5B60001058888000263A1B6A5,心跳帧,0.0,0.0,--
2,2026-06-07 13:59:55.036,A-01,发送广播寻找设备(字符串),,,,A5B60001058888000263A1B6A5,A5B60001058888000263A1B6A5,1.0,1.0,通过
3,2026-06-07 13:59:55.754,A-02,发送重启命令,,A5B60001010101000215ABB6A5,命令 命令字=0x0101,A5B600010201010102FF0C45B6A5,执行成功(OK),0.0,0.0,--
4,2026-06-07 13:59:55.754,A-02,发送重启命令(字符串),,,,A5B600010201010102FF0C45B6A5,A5B600010201010102FF0C45B6A5,1.0,1.0,通过
5,2026-06-07 14:00:00.745,A-03,等待重启后心跳帧,,,,A5B60001058888000263A1B6A5,心跳帧,0.0,0.0,--
6,2026-06-07 14:00:00.746,A-03,等待重启后心跳帧(字符串),,,,A5B60001058888000263A1B6A5,A5B60001058888000263A1B6A5,1.0,1.0,通过
7,2026-06-07 14:00:01.461,B-01,发送查询固件版本,,A5B60001010104000214BBB6A5,命令 命令字=0x0104,A5B60001020104040202000100BC71B6A5,固件版本: 2.0.1.0,0.0,0.0,--
8,2026-06-07 14:00:01.461,B-01,发送查询固件版本(字符串),,,,A5B60001020104040202000100BC71B6A5,A5B60001020104040202000100BC71B6A5,1.0,1.0,通过
9,2026-06-07 14:00:02.175,B-02,发送查询设备时间,,A5B600010101060002D41AB6A5,命令 命令字=0x0106,A5B6000102010604026955B963616CB6A5,设备时间: 2026-01-01 08:01:39,0.0,0.0,--
10,2026-06-07 14:00:02.177,B-02,发送查询设备时间(字符串),,,,A5B6000102010604026955B963616CB6A5,A5B6000102010604026955B963616CB6A5,1.0,1.0,通过
11,2026-06-07 14:00:02.892,B-03,发送查询波特率,,A5B600010101120002D05AB6A5,命令 命令字=0x0112,A5B600010201120102130540B6A5,波特率: 19200 bps,0.0,0.0,--
12,2026-06-07 14:00:02.894,B-03,发送查询波特率(字符串),,,,A5B600010201120102130540B6A5,A5B600010201120102130540B6A5,1.0,1.0,通过
13,2026-06-07 14:00:03.608,B-04,发送查询CH0,,A5B60001010201000251ABB6A5,命令 命令字=0x0201,A5B600010202010402457F00005540B6A5,CH0=4080.0000,0.0,0.0,--
14,2026-06-07 14:00:03.608,B-04,发送查询CH0(字符串),,,,A5B600010202010402457F00005540B6A5,A5B600010202010402457F00005540B6A5,1.0,1.0,通过
15,2026-06-07 14:00:04.321,B-05,发送查询CH1,,A5B600010102020002515BB6A5,命令 命令字=0x0202,A5B60001020202040240800000A943B6A5,CH1=4.0000,0.0,0.0,--
16,2026-06-07 14:00:04.322,B-05,发送查询CH1(字符串),,,,A5B60001020202040240800000A943B6A5,A5B60001020202040240800000A943B6A5,1.0,1.0,通过
17,2026-06-07 14:00:05.035,B-06,发送批量读取阈值(0x0400),,A5B60001010400000219FAB6A5,命令 命令字=0x0400,A5B600010204000802453B8000453B8000DED7B6A5,"CH0阈值=3000.0000, CH1阈值=3000.0000",0.0,0.0,--
18,2026-06-07 14:00:05.035,B-06,发送批量读取阈值(0x0400)(字符串),,,,A5B600010204000802453B8000453B8000DED7B6A5,A5B600010204000802453B8000453B8000DED7B6A5,0.0,0.0,--
19,2026-06-07 14:00:05.750,B-06,发送读取CH0阈值(0x0401),,A5B600010104010002D9ABB6A5,命令 命令字=0x0401,A5B600010204010402453B8000AAE1B6A5,CH0阈值=3000.0000,0.0,0.0,--
20,2026-06-07 14:00:05.750,B-06,发送读取CH0阈值(0x0401)(字符串),,,,A5B600010204010402453B8000AAE1B6A5,A5B600010204010402453B8000AAE1B6A5,0.0,0.0,--
21,2026-06-07 14:00:06.466,B-06,发送读取CH1阈值(0x0402),,A5B600010104020002D95BB6A5,命令 命令字=0x0402,A5B600010204020402453B8000AAD2B6A5,CH1阈值=3000.0000,0.0,0.0,--
22,2026-06-07 14:00:06.466,B-06,发送读取CH1阈值(0x0402)(字符串),,,,A5B600010204020402453B8000AAD2B6A5,A5B600010204020402453B8000AAD2B6A5,1.0,1.0,通过
23,2026-06-07 14:00:07.182,C-01,发送设置时间,T_set=1780812006,A5B6000101010504026A2508E6FDFFB6A5,命令 命令字=0x0105,A5B600010201050102FF3C44B6A5,执行成功(OK),0.0,0.0,--
24,2026-06-07 14:00:07.183,C-01,发送设置时间(字符串),T_set=1780812006,,,A5B600010201050102FF3C44B6A5,A5B600010201050102FF3C44B6A5,0.0,0.0,--
25,2026-06-07 14:00:07.898,C-01,发送查询时间,T_set=1780812006,A5B600010101060002D41AB6A5,命令 命令字=0x0106,A5B6000102010604026A2508E60DD8B6A5,设备时间: 2026-06-07 14:00:06,0.0,0.0,--
26,2026-06-07 14:00:07.898,C-01,发送查询时间(字符串),T_set=1780812006,,,A5B6000102010604026A2508E60DD8B6A5,A5B6000102010604026A2508E60DD8B6A5,1.0,1.0,通过
27,2026-06-07 14:00:08.612,D-00,设置DAC=2048(预备),dac=2048,A5B600010103010202080065B9B6A5,命令 命令字=0x0301,A5B600010203010102FFCC3CB6A5,执行成功(OK),0.0,0.0,--
28,2026-06-07 14:00:08.614,D-00,设置DAC=2048(预备)(字符串),dac=2048,,,A5B600010203010102FFCC3CB6A5,A5B600010203010102FFCC3CB6A5,0.0,0.0,--
29,2026-06-07 14:00:09.833,D-00,读取CH1数据(1/1),,A5B600010102020002515BB6A5,命令 命令字=0x0202,A5B600010202020402448A20005B7BB6A5,CH1=1105.0000,0.0,0.0,--
30,2026-06-07 14:00:09.835,D-00,读取CH1数据(1/1)(字符串),,,,A5B600010202020402448A20005B7BB6A5,A5B600010202020402448A20005B7BB6A5,0.0,0.0,--
31,2026-06-07 14:00:10.049,D-00,"DAC预备完成, 读CH1留痕","dac=2048, ch1=1105.00",,,,"DAC设置成功, CH1=1105.00",0.0,0.0,--
32,2026-06-07 14:00:10.767,D-01,设置CH0变比=1.0,k=1.0,A5B6000101024104023F800000493CB6A5,命令 命令字=0x0241,A5B600010202410102FFCC14B6A5,执行成功(OK),0.0,0.0,--
33,2026-06-07 14:00:10.767,D-01,设置CH0变比=1.0(字符串),k=1.0,,,A5B600010202410102FFCC14B6A5,A5B600010202410102FFCC14B6A5,0.0,0.0,--
