#队伍编号,2026141323
#评审时间,2026-06-07 13:49:41
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 10:49:30
#随机种子,15068453
#总分,38.5
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
1,2026-06-07 13:45:55.370,A-01,发送广播寻找设备,,A5B6FFFF05FFFF00021C10B6A5,心跳 命令字=0xFFFF,A5B65ECE0588880002590FB6A5,心跳帧,0.0,0.0,--
2,2026-06-07 13:45:55.370,A-01,发送广播寻找设备(字符串),,,,A5B65ECE0588880002590FB6A5,A5B65ECE0588880002590FB6A5,1.0,1.0,通过
3,2026-06-07 13:45:56.087,A-02,发送重启命令,,A5B65ECE01010100022F05B6A5,命令 命令字=0x0101,A5B65ECE0201010102FFB0FEB6A5,执行成功(OK),0.0,0.0,--
4,2026-06-07 13:45:56.087,A-02,发送重启命令(字符串),,,,A5B65ECE0201010102FFB0FEB6A5,A5B65ECE0201010102FFB0FEB6A5,1.0,1.0,通过
5,2026-06-07 13:46:01.035,A-03,等待重启后心跳帧,,,,A5B65ECE0588880002590FB6A5,心跳帧,0.0,0.0,--
6,2026-06-07 13:46:01.035,A-03,等待重启后心跳帧(字符串),,,,A5B65ECE0588880002590FB6A5,A5B65ECE0588880002590FB6A5,1.0,1.0,通过
7,2026-06-07 13:46:01.738,B-01,发送查询固件版本,,A5B65ECE01010400022E15B6A5,命令 命令字=0x0104,A5B65ECE0201040402020001005971B6A5,固件版本: 2.0.1.0,0.0,0.0,--
8,2026-06-07 13:46:01.738,B-01,发送查询固件版本(字符串),,,,A5B65ECE0201040402020001005971B6A5,A5B65ECE0201040402020001005971B6A5,1.0,1.0,通过
9,2026-06-07 13:46:02.455,B-02,发送查询设备时间,,A5B65ECE0101060002EEB4B6A5,命令 命令字=0x0106,A5B65ECE02010604026A250599989DB6A5,设备时间: 2026-06-07 13:46:01,0.0,0.0,--
10,2026-06-07 13:46:02.455,B-02,发送查询设备时间(字符串),,,,A5B65ECE02010604026A250599989DB6A5,A5B65ECE02010604026A250599989DB6A5,1.0,1.0,通过
11,2026-06-07 13:46:03.171,B-03,发送查询波特率,,A5B65ECE0101120002EAF4B6A5,命令 命令字=0x0112,A5B65ECE020112010213B9FBB6A5,波特率: 19200 bps,0.0,0.0,--
12,2026-06-07 13:46:03.171,B-03,发送查询波特率(字符串),,,,A5B65ECE020112010213B9FBB6A5,A5B65ECE020112010213B9FBB6A5,1.0,1.0,通过
13,2026-06-07 13:46:03.888,B-04,发送查询CH0,,A5B65ECE01020100026B05B6A5,命令 命令字=0x0201,A5B65ECE020201040246FFA0001C39B6A5,CH0=32720.0000,0.0,0.0,--
14,2026-06-07 13:46:03.888,B-04,发送查询CH0(字符串),,,,A5B65ECE020201040246FFA0001C39B6A5,A5B65ECE020201040246FFA0001C39B6A5,1.0,1.0,通过
15,2026-06-07 13:46:04.590,B-05,发送查询CH1,,A5B65ECE01020200026BF5B6A5,命令 命令字=0x0202,A5B65ECE020202040245DFE000523AB6A5,CH1=7164.0000,0.0,0.0,--
16,2026-06-07 13:46:04.590,B-05,发送查询CH1(字符串),,,,A5B65ECE020202040245DFE000523AB6A5,A5B65ECE020202040245DFE000523AB6A5,1.0,1.0,通过
17,2026-06-07 13:46:05.305,B-06,发送批量读取阈值(0x0400),,A5B65ECE01040000022354B6A5,命令 命令字=0x0400,A5B65ECE020400080246CC8000454CE667A3DAB6A5,"CH0阈值=26176.0000, CH1阈值=3278.4000",0.0,0.0,--
18,2026-06-07 13:46:05.305,B-06,发送批量读取阈值(0x0400)(字符串),,,,A5B65ECE020400080246CC8000454CE667A3DAB6A5,A5B65ECE020400080246CC8000454CE667A3DAB6A5,0.0,0.0,--
19,2026-06-07 13:46:06.011,B-06,发送读取CH0阈值(0x0401),,A5B65ECE0104010002E305B6A5,命令 命令字=0x0401,A5B65ECE020401040246CC8000F950B6A5,CH0阈值=26176.0000,0.0,0.0,--
20,2026-06-07 13:46:06.011,B-06,发送读取CH0阈值(0x0401)(字符串),,,,A5B65ECE020401040246CC8000F950B6A5,A5B65ECE020401040246CC8000F950B6A5,0.0,0.0,--
21,2026-06-07 13:46:06.714,B-06,发送读取CH1阈值(0x0402),,A5B65ECE0104020002E3F5B6A5,命令 命令字=0x0402,A5B65ECE0204020402454CE6671F08B6A5,CH1阈值=3278.4000,0.0,0.0,--
22,2026-06-07 13:46:06.714,B-06,发送读取CH1阈值(0x0402)(字符串),,,,A5B65ECE0204020402454CE6671F08B6A5,A5B65ECE0204020402454CE6671F08B6A5,1.0,1.0,通过
23,2026-06-07 13:46:07.416,C-01,发送设置时间,T_set=1780811166,A5B65ECE01010504026A25059EAAFBB6A5,命令 命令字=0x0105,A5B65ECE0201050102FF80FFB6A5,执行成功(OK),0.0,0.0,--
24,2026-06-07 13:46:07.417,C-01,发送设置时间(字符串),T_set=1780811166,,,A5B65ECE0201050102FF80FFB6A5,A5B65ECE0201050102FF80FFB6A5,0.0,0.0,--
25,2026-06-07 13:46:08.131,C-01,发送查询时间,T_set=1780811166,A5B65ECE0101060002EEB4B6A5,命令 命令字=0x0106,A5B65ECE02010604026A25059E5ADCB6A5,设备时间: 2026-06-07 13:46:06,0.0,0.0,--
26,2026-06-07 13:46:08.131,C-01,发送查询时间(字符串),T_set=1780811166,,,A5B65ECE02010604026A25059E5ADCB6A5,A5B65ECE02010604026A25059E5ADCB6A5,1.0,1.0,通过
27,2026-06-07 13:46:08.836,D-00,设置DAC=2048(预备),dac=2048,A5B65ECE010301020208001645B6A5,命令 命令字=0x0301,A5B65ECE0203010102FF7087B6A5,执行成功(OK),0.0,0.0,--
28,2026-06-07 13:46:08.836,D-00,设置DAC=2048(预备)(字符串),dac=2048,,,A5B65ECE0203010102FF7087B6A5,A5B65ECE0203010102FF7087B6A5,0.0,0.0,--
29,2026-06-07 13:46:10.065,D-00,读取CH1数据(1/1),,A5B65ECE01020200026BF5B6A5,命令 命令字=0x0202,A5B65ECE020202040245AC30004996B6A5,CH1=5510.0000,0.0,0.0,--
