#队伍编号,未设置队伍
#评审时间,2026-06-07 15:53:37
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 15:31:57
#随机种子,4470031
#总分,39.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
1,2026-06-07 15:50:00.172,A-01,发送广播寻找设备,,A5B6FFFF05FFFF00021C10B6A5,心跳 命令字=0xFFFF,A5B6D78205888800029D19B6A5,心跳帧,0.0,0.0,--
2,2026-06-07 15:50:00.172,A-01,发送广播寻找设备(字符串),,,,A5B6D78205888800029D19B6A5,A5B6D78205888800029D19B6A5,1.0,1.0,通过
3,2026-06-07 15:50:00.890,A-02,发送重启命令,,A5B6D7820101010002EB13B6A5,命令 命令字=0x0101,A5B6D7820201010102FF7EBBB6A5,执行成功(OK),0.0,0.0,--
4,2026-06-07 15:50:00.890,A-02,发送重启命令(字符串),,,,A5B6D7820201010102FF7EBBB6A5,A5B6D7820201010102FF7EBBB6A5,1.0,1.0,通过
5,2026-06-07 15:50:05.850,A-03,等待重启后心跳帧,,,,A5B6D78205888800029D19B6A5,心跳帧,0.0,0.0,--
6,2026-06-07 15:50:05.850,A-03,等待重启后心跳帧(字符串),,,,A5B6D78205888800029D19B6A5,A5B6D78205888800029D19B6A5,1.0,1.0,通过
7,2026-06-07 15:50:06.564,B-01,发送查询固件版本,,A5B6D7820101040002EA03B6A5,命令 命令字=0x0104,A5B6D782020104040202000100EC34B6A5,固件版本: 2.0.1.0,0.0,0.0,--
8,2026-06-07 15:50:06.564,B-01,发送查询固件版本(字符串),,,,A5B6D782020104040202000100EC34B6A5,A5B6D782020104040202000100EC34B6A5,1.0,1.0,通过
9,2026-06-07 15:50:07.280,B-02,发送查询设备时间,,A5B6D78201010600022AA2B6A5,命令 命令字=0x0106,A5B6D78202010604026A2522AD0AC2B6A5,设备时间: 2026-06-07 15:50:05,0.0,0.0,--
10,2026-06-07 15:50:07.280,B-02,发送查询设备时间(字符串),,,,A5B6D78202010604026A2522AD0AC2B6A5,A5B6D78202010604026A2522AD0AC2B6A5,1.0,1.0,通过
11,2026-06-07 15:50:07.983,B-03,发送查询波特率,,A5B6D78201011200022EE2B6A5,命令 命令字=0x0112,A5B6D78202011201021377BEB6A5,波特率: 19200 bps,0.0,0.0,--
12,2026-06-07 15:50:07.983,B-03,发送查询波特率(字符串),,,,A5B6D78202011201021377BEB6A5,A5B6D78202011201021377BEB6A5,1.0,1.0,通过
13,2026-06-07 15:50:08.697,B-04,发送查询CH0,,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402467F80008164B6A5,CH0=16352.0000,0.0,0.0,--
14,2026-06-07 15:50:08.698,B-04,发送查询CH0(字符串),,,,A5B6D7820202010402467F80008164B6A5,A5B6D7820202010402467F80008164B6A5,1.0,1.0,通过
15,2026-06-07 15:50:09.415,B-05,发送查询CH1,,A5B6D7820102020002AFE3B6A5,命令 命令字=0x0202,A5B6D7820202020402450040001D36B6A5,CH1=2052.0000,0.0,0.0,--
16,2026-06-07 15:50:09.416,B-05,发送查询CH1(字符串),,,,A5B6D7820202020402450040001D36B6A5,A5B6D7820202020402450040001D36B6A5,1.0,1.0,通过
17,2026-06-07 15:50:10.131,B-06,发送批量读取阈值(0x0400),,A5B6D7820104000002E742B6A5,命令 命令字=0x0400,A5B6D7820204000802464C8CCD454CCCCD82EDB6A5,"CH0阈值=13091.2000, CH1阈值=3276.8000",0.0,0.0,--
18,2026-06-07 15:50:10.132,B-06,发送批量读取阈值(0x0400)(字符串),,,,A5B6D7820204000802464C8CCD454CCCCD82EDB6A5,A5B6D7820204000802464C8CCD454CCCCD82EDB6A5,0.0,0.0,--
19,2026-06-07 15:50:10.847,B-06,发送读取CH0阈值(0x0401),,A5B6D78201040100022713B6A5,命令 命令字=0x0401,A5B6D7820204010402464C8CCD31D0B6A5,CH0阈值=13091.2000,0.0,0.0,--
20,2026-06-07 15:50:10.847,B-06,发送读取CH0阈值(0x0401)(字符串),,,,A5B6D7820204010402464C8CCD31D0B6A5,A5B6D7820204010402464C8CCD31D0B6A5,0.0,0.0,--
21,2026-06-07 15:50:11.549,B-06,发送读取CH1阈值(0x0402),,A5B6D782010402000227E3B6A5,命令 命令字=0x0402,A5B6D7820204020402454CCCCDB5D2B6A5,CH1阈值=3276.8000,0.0,0.0,--
22,2026-06-07 15:50:11.549,B-06,发送读取CH1阈值(0x0402)(字符串),,,,A5B6D7820204020402454CCCCDB5D2B6A5,A5B6D7820204020402454CCCCDB5D2B6A5,1.0,1.0,通过
23,2026-06-07 15:50:12.262,C-01,发送设置时间,T_set=1780818611,A5B6D78201010504026A2522B3F265B6A5,命令 命令字=0x0105,A5B6D7820201050102FF4EBAB6A5,执行成功(OK),0.0,0.0,--
24,2026-06-07 15:50:12.262,C-01,发送设置时间(字符串),T_set=1780818611,,,A5B6D7820201050102FF4EBAB6A5,A5B6D7820201050102FF4EBAB6A5,0.0,0.0,--
25,2026-06-07 15:50:12.977,C-01,发送查询时间,T_set=1780818611,A5B6D78201010600022AA2B6A5,命令 命令字=0x0106,A5B6D78202010604026A2522B30242B6A5,设备时间: 2026-06-07 15:50:11,0.0,0.0,--
26,2026-06-07 15:50:12.977,C-01,发送查询时间(字符串),T_set=1780818611,,,A5B6D78202010604026A2522B30242B6A5,A5B6D78202010604026A2522B30242B6A5,1.0,1.0,通过
27,2026-06-07 15:50:13.693,D-00,设置DAC=2048(预备),dac=2048,A5B6D78201030102020800E54AB6A5,命令 命令字=0x0301,A5B6D7820203010102FFBEC2B6A5,执行成功(OK),0.0,0.0,--
28,2026-06-07 15:50:13.694,D-00,设置DAC=2048(预备)(字符串),dac=2048,,,A5B6D7820203010102FFBEC2B6A5,A5B6D7820203010102FFBEC2B6A5,0.0,0.0,--
29,2026-06-07 15:50:14.907,D-00,读取CH1数据(1/1),,A5B6D7820102020002AFE3B6A5,命令 命令字=0x0202,A5B6D782020202040245452000C80FB6A5,CH1=3154.0000,0.0,0.0,--
30,2026-06-07 15:50:14.907,D-00,读取CH1数据(1/1)(字符串),,,,A5B6D782020202040245452000C80FB6A5,A5B6D782020202040245452000C80FB6A5,0.0,0.0,--
31,2026-06-07 15:50:15.109,D-00,"DAC预备完成, 读CH1留痕","dac=2048, ch1=3154.00",,,,"DAC设置成功, CH1=3154.00",0.0,0.0,--
32,2026-06-07 15:50:15.824,D-01,设置CH0变比=1.0,k=1.0,A5B6D78201024104023F8000001979B6A5,命令 命令字=0x0241,A5B6D7820202410102FFBEEAB6A5,执行成功(OK),0.0,0.0,--
33,2026-06-07 15:50:15.824,D-01,设置CH0变比=1.0(字符串),k=1.0,,,A5B6D7820202410102FFBEEAB6A5,A5B6D7820202410102FFBEEAB6A5,0.0,0.0,--
34,2026-06-07 15:50:16.837,D-01,读取CH0数据(1/3),,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402457F7000C520B6A5,CH0=4087.0000,0.0,0.0,--
35,2026-06-07 15:50:16.837,D-01,读取CH0数据(1/3)(字符串),,,,A5B6D7820202010402457F7000C520B6A5,A5B6D7820202010402457F7000C520B6A5,0.0,0.0,--
36,2026-06-07 15:50:17.766,D-01,读取CH0数据(2/3),,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402457F8000C564B6A5,CH0=4088.0000,0.0,0.0,--
37,2026-06-07 15:50:17.766,D-01,读取CH0数据(2/3)(字符串),,,,A5B6D7820202010402457F8000C564B6A5,A5B6D7820202010402457F8000C564B6A5,0.0,0.0,--
38,2026-06-07 15:50:18.684,D-01,读取CH0数据(3/3),,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402457F8000C564B6A5,CH0=4088.0000,0.0,0.0,--
39,2026-06-07 15:50:18.684,D-01,读取CH0数据(3/3)(字符串),,,,A5B6D7820202010402457F8000C564B6A5,A5B6D7820202010402457F8000C564B6A5,0.0,0.0,--
40,2026-06-07 15:50:19.602,D-01,设置CH0变比=1.25,k0=1.25,A5B6D78201024104023FA00000D378B6A5,命令 命令字=0x0241,A5B6D7820202410102FFBEEAB6A5,执行成功(OK),0.0,0.0,--
41,2026-06-07 15:50:19.602,D-01,设置CH0变比=1.25(字符串),k0=1.25,,,A5B6D7820202410102FFBEEAB6A5,A5B6D7820202410102FFBEEAB6A5,0.0,0.0,--
42,2026-06-07 15:50:20.630,D-01,读取CH0数据(1/3),,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402459FB0003371B6A5,CH0=5110.0000,0.0,0.0,--
43,2026-06-07 15:50:20.630,D-01,读取CH0数据(1/3)(字符串),,,,A5B6D7820202010402459FB0003371B6A5,A5B6D7820202010402459FB0003371B6A5,0.0,0.0,--
44,2026-06-07 15:50:21.550,D-01,读取CH0数据(2/3),,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402459FA600537FB6A5,CH0=5108.7500,0.0,0.0,--
45,2026-06-07 15:50:21.550,D-01,读取CH0数据(2/3)(字符串),,,,A5B6D7820202010402459FA600537FB6A5,A5B6D7820202010402459FA600537FB6A5,0.0,0.0,--
46,2026-06-07 15:50:22.454,D-01,读取CH0数据(3/3),,A5B6D7820102010002AF13B6A5,命令 命令字=0x0201,A5B6D7820202010402459FB0003371B6A5,CH0=5110.0000,0.0,0.0,--
47,2026-06-07 15:50:22.454,D-01,读取CH0数据(3/3)(字符串),,,,A5B6D7820202010402459FB0003371B6A5,A5B6D7820202010402459FB0003371B6A5,1.0,1.0,通过
48,2026-06-07 15:50:23.373,D-02,设置CH1变比=1.0,k=1.0,A5B6D78201024204023F800000194AB6A5,命令 命令字=0x0242,A5B6D7820202420102FFFAEAB6A5,执行成功(OK),0.0,0.0,--
49,2026-06-07 15:50:23.373,D-02,设置CH1变比=1.0(字符串),k=1.0,,,A5B6D7820202420102FFFAEAB6A5,A5B6D7820202420102FFFAEAB6A5,0.0,0.0,--
50,2026-06-07 15:50:24.387,D-02,读取CH1数据(1/3),,A5B6D7820102020002AFE3B6A5,命令 命令字=0x0202,A5B6D782020202040244FFE000D17FB6A5,CH1=2047.0000,0.0,0.0,--
51,2026-06-07 15:50:24.388,D-02,读取CH1数据(1/3)(字符串),,,,A5B6D782020202040244FFE000D17FB6A5,A5B6D782020202040244FFE000D17FB6A5,0.0,0.0,--
52,2026-06-07 15:50:25.292,D-02,读取CH1数据(2/3),,A5B6D7820102020002AFE3B6A5,命令 命令字=0x0202,A5B6D782020202040245000000DD07B6A5,CH1=2048.0000,0.0,0.0,--
53,2026-06-07 15:50:25.292,D-02,读取CH1数据(2/3)(字符串),,,,A5B6D782020202040245000000DD07B6A5,A5B6D782020202040245000000DD07B6A5,0.0,0.0,--
54,2026-06-07 15:50:26.208,D-02,读取CH1数据(3/3),,A5B6D7820102020002AFE3B6A5,命令 命令字=0x0202,A5B6D782020202040245000000DD07B6A5,CH1=2048.0000,0.0,0.0,--
55,2026-06-07 15:50:26.208,D-02,读取CH1数据(3/3)(字符串),,,,A5B6D782020202040245000000DD07B6A5,A5B6D782020202040245000000DD07B6A5,0.0,0.0,--
56,2026-06-07 15:50:27.126,D-02,设置CH1变比=4,k1=4,A5B6D782010242040240800000CD53B6A5,命令 命令字=0x0242,A5B6D7820202420102FFFAEAB6A5,执行成功(OK),0.0,0.0,--
57,2026-06-07 15:50:27.126,D-02,设置CH1变比=4(字符串),k1=4,,,A5B6D7820202420102FFFAEAB6A5,A5B6D7820202420102FFFAEAB6A5,0.0,0.0,--
58,2026-06-07 15:50:28.152,D-02,读取CH1数据(1/3),,A5B6D7820102020002AFE3B6A5,命令 命令字=0x0202,A5B6D7820202020402460000009907B6A5,CH1=8192.0000,0.0,0.0,--
59,2026-06-07 15:50:28.152,D-02,读取CH1数据(1/3)(字符串),,,,A5B6D7820202020402460000009907B6A5,A5B6D7820202020402460000009907B6A5,0.0,0.0,--
