#队伍编号,2026141323
#评审时间,2026-06-07 13:05:46
#NTP服务器,ntp.aliyun.com
#NTP已同步,是
#NTP同步时刻,2026-06-07 10:49:30
#随机种子,12432984
#总分,38.0
序号,时间(NTP),测试编号,步骤描述,相关参数,下发帧原文,下发帧解析,收回帧原文,收回帧解析,得分,满分,结果
1,2026-06-07 13:01:59.915,A-01,发送广播寻找设备,,A5B6FFFF05FFFF00021C10B6A5,心跳 命令字=0xFFFF,A5B634DD0588880002FCC7B6A5,心跳帧,0.0,0.0,--
2,2026-06-07 13:01:59.915,A-01,发送广播寻找设备(字符串),,,,A5B634DD0588880002FCC7B6A5,A5B634DD0588880002FCC7B6A5,1.0,1.0,通过
3,2026-06-07 13:02:00.618,A-02,发送重启命令,,A5B634DD01010100028ACDB6A5,命令 命令字=0x0101,A5B634DD0201010102FF265AB6A5,执行成功(OK),0.0,0.0,--
4,2026-06-07 13:02:00.618,A-02,发送重启命令(字符串),,,,A5B634DD0201010102FF265AB6A5,A5B634DD0201010102FF265AB6A5,1.0,1.0,通过
5,2026-06-07 13:02:05.610,A-03,等待重启后心跳帧,,,,A5B634DD0588880002FCC7B6A5,心跳帧,0.0,0.0,--
6,2026-06-07 13:02:05.610,A-03,等待重启后心跳帧(字符串),,,,A5B634DD0588880002FCC7B6A5,A5B634DD0588880002FCC7B6A5,1.0,1.0,通过
7,2026-06-07 13:02:06.323,B-01,发送查询固件版本,,A5B634DD01010400028BDDB6A5,命令 命令字=0x0104,A5B634DD0201040402020001001A5FB6A5,固件版本: 2.0.1.0,0.0,0.0,--
8,2026-06-07 13:02:06.323,B-01,发送查询固件版本(字符串),,,,A5B634DD0201040402020001001A5FB6A5,A5B634DD0201040402020001001A5FB6A5,1.0,1.0,通过
9,2026-06-07 13:02:07.038,B-02,发送查询设备时间,,A5B634DD01010600024B7CB6A5,命令 命令字=0x0106,A5B634DD02010604026A24FB4E25E2B6A5,设备时间: 2026-06-07 13:02:06,0.0,0.0,--
10,2026-06-07 13:02:07.038,B-02,发送查询设备时间(字符串),,,,A5B634DD02010604026A24FB4E25E2B6A5,A5B634DD02010604026A24FB4E25E2B6A5,1.0,1.0,通过
